"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"170",10000,1,60.88,0,15,"Consensus",50,"Consensus (10000, 50)"
"171",1,0.846425319748537,5438.7,-18,15,"Consensus",100,"Consensus (1, 100)"
"172",10,0.993658633738299,425.840000000001,-1,15,"Consensus",100,"Consensus (10, 100)"
"173",100,0.993658633738299,63.14,-1,15,"Consensus",100,"Consensus (100, 100)"
"174",1000,1,53.32,0,15,"Consensus",100,"Consensus (1000, 100)"
"175",10000,0.993658633738299,60.84,-1,15,"Consensus",100,"Consensus (10000, 100)"
"176",1,0.628868260980935,4104,-20,16,"Consensus",1,"Consensus (1, 1)"
"177",10,0.995120422035956,62,-1,16,"Consensus",1,"Consensus (10, 1)"
"178",100,1,0,0,16,"Consensus",1,"Consensus (100, 1)"
"179",1000,1,0,0,16,"Consensus",1,"Consensus (1000, 1)"
"180",10000,1,0,0,16,"Consensus",1,"Consensus (10000, 1)"
"181",1,0.82329781908677,5177.2,-17,16,"Consensus",10,"Consensus (1, 10)"
"182",10,1,283.4,0,16,"Consensus",10,"Consensus (10, 10)"
"183",100,1,0,0,16,"Consensus",10,"Consensus (100, 10)"
"184",1000,1,0,0,16,"Consensus",10,"Consensus (1000, 10)"
"185",10000,1,0,0,16,"Consensus",10,"Consensus (10000, 10)"
"186",1,0.7912676956086,5612.2,-19,16,"Consensus",30,"Consensus (1, 30)"
"187",10,1,528.000000000001,0,16,"Consensus",30,"Consensus (10, 30)"
"188",100,1,5.53333333333334,0,16,"Consensus",30,"Consensus (100, 30)"
"189",1000,1,2.33333333333334,0,16,"Consensus",30,"Consensus (1000, 30)"
"190",10000,1,4.66666666666668,0,16,"Consensus",30,"Consensus (10000, 30)"
"191",1,0.784087203179142,5527.68,-17,16,"Consensus",50,"Consensus (1, 50)"
"192",10,1,513.64,0,16,"Consensus",50,"Consensus (10, 50)"
"193",100,1,6.63999999999999,0,16,"Consensus",50,"Consensus (100, 50)"
"194",1000,1,8.47999999999998,0,16,"Consensus",50,"Consensus (1000, 50)"
"195",10000,1,4.20000000000001,0,16,"Consensus",50,"Consensus (10000, 50)"
