"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"99","K54
(6)","GO:0031298","replication fork protection complex",0.5,"18/550",0.000556005362198853,0.0283562734721415,0.0257518273018416,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"CC"
"100","K54
(6)","GO:0005654","nucleoplasm",0.5,"25/550",0.0015216447813431,0.0335281853174005,0.030448713188145,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"CC"
"101","K54
(6)","GO:0032993","protein-DNA complex",0.5,"30/550",0.00262966159352161,0.0335281853174005,0.030448713188145,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"CC"
"102","K54
(6)","GO:0043596","nuclear replication fork",0.5,"30/550",0.00262966159352161,0.0335281853174005,0.030448713188145,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"CC"
"103","K54
(6)","GO:0005657","replication fork",0.5,"34/550",0.00381027156217094,0.0388647699341436,0.035295147102215,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"CC"
"104","K2
(8)","GO:0005933","cellular bud",0.75,"73/550",0.000101947407693882,0.00407789630775528,0.00354133100410327,"855389/855804/854437/853650/855945/851375",6,"K2 (8)","Bayesian",1,"Bayesian: chain 1",2,"CC"
"105","K3
(12)","GO:0005739","mitochondrion",0.5,"65/550",0.00113725020620379,0.0386665070109289,0.0383073753668646,"854556/854529/855447/856314/850614/856044",6,"K3 (12)","Bayesian",1,"Bayesian: chain 1",3,"CC"
"106","K6
(2)","GO:0000322","storage vacuole",1,"54/550",0.00947839046199702,0.0465136612021858,0.0333830104321908,"850891/855023",2,"K6 (2)","Bayesian",1,"Bayesian: chain 1",6,"CC"
"107","K6
(2)","GO:0000323","lytic vacuole",1,"54/550",0.00947839046199702,0.0465136612021858,0.0333830104321908,"850891/855023",2,"K6 (2)","Bayesian",1,"Bayesian: chain 1",6,"CC"
"108","K6
(2)","GO:0000324","fungal-type vacuole",1,"54/550",0.00947839046199702,0.0465136612021858,0.0333830104321908,"850891/855023",2,"K6 (2)","Bayesian",1,"Bayesian: chain 1",6,"CC"
"109","K6
(2)","GO:0005773","vacuole",1,"55/550",0.00983606557377049,0.0465136612021858,0.0333830104321908,"850891/855023",2,"K6 (2)","Bayesian",1,"Bayesian: chain 1",6,"CC"
